opName	category	safetyStatus	recipeLines	vbaFunction	requiredParams	optionalParams	createsElements	ownElementOnly	sourceRefs	addedDate	promotedDate	notes
VIEW_FIT_ACTIVE	keyin_recipe	unsafe-blocked	KEYIN:FIT ACTIVE			N	N	live COM probe 2026-07-31 (0.115s)	2026-07-31	2026-07-31		false-OK audit 2026-08-02: ARMED — left CommandName='Fit Active Design' prompt='Select view' (baseline='Element Selection'). Old keyin_batch probe SendReset masked this; refusing headless execution.
VIEW_PREVIOUS	keyin_recipe	verified-headless-safe	KEYIN:VIEW PREVIOUS			N	N	live COM probe 2026-07-31 (0.230s)	2026-07-31	2026-07-31	View-only. Restores previous view.	
VIEW_UPDATE_ALL	keyin_recipe	verified-headless-safe	KEYIN:UPDATE ALL			N	N	live COM probe 2026-07-31 (0.056s); WSDOT CAE function-key tech note	2026-07-31	2026-07-31	View-only. Redraws all open views.	
SELECTION_CLEAR_ALL	keyin_recipe	verified-headless-safe	KEYIN:CHOOSE NONE			N	N	live COM probe 2026-07-31 (0.030s); WSDOT CAE function-key tech note	2026-07-31	2026-07-31	Clears the current selection set. No datapoint.	
MOVE_ELEMENT	direct_api	verified-headless-safe		ExecMoveElementByID	elementId|deltaX|deltaY	deltaZ|ownElementOnly	N	Y	BBMarkupProcessor.ExecuteMove;WZTCExec.ExecMoveElementByID	2026-07-31	2026-07-31	Direct Element.Move + Rewrite. Call via MOVE_ELEMENT bridge op, not RUN_REGISTRY_COMMAND.
CHANGE_ELEMENT_LEVEL	direct_api	verified-headless-safe		ExecChangeElementLevelByID	elementId|level	ownElementOnly	N	Y	BBMarkupProcessor.ExecuteChangeLevel;WZTCExec.ExecChangeElementLevelByID	2026-07-31	2026-07-31	Direct el.Level + Rewrite. Call via CHANGE_ELEMENT_LEVEL bridge op.
EDIT_TEXT_ELEMENT	direct_api	verified-headless-safe		ExecEditTextByID	elementId|newText	ownElementOnly	N	Y	BBMarkupProcessor.ExecuteEditText;WZTCExec.ExecEditTextByID	2026-07-31	2026-07-31	Direct TextElement.Text + Rewrite. Call via EDIT_TEXT_ELEMENT bridge op.
DELETE_ELEMENT	direct_api	verified-headless-safe		ExecDeleteElementsByID	elementId	ownElementOnly	N	Y	WZTCExec.ExecDeleteElementsByID (UNDO_LAST_OP)	2026-07-31	2026-07-31	Reuses existing delete-by-ID. NOT undoable via UNDO_LAST_OP (no snapshot). Call via DELETE_ELEMENT bridge op.
DIMENSION_SIZE_WITH_LINES	keyin_recipe	interactive-only-use-handoff	COMMAND:DIMENSION SIZE WITH LINES		fromSta|toSta		N	N	PlaceElements.frm:207-226	2026-07-31		No headless precedent. Use HANDOFF kind=dimension. Red-list closure.
DIMENSION_LINEAR_SIZE_ARROW	keyin_recipe	interactive-only-use-handoff	COMMAND:DIMENSION LINEAR SIZE ARROW			N	N	BBMarkupProcessor.ExecuteAddDimension	2026-07-31		Confirmed activate-and-abandon anti-pattern (Status=Done with no datapoints). Use HANDOFF kind=dimension.	
TEXTEDITOR_PLACENOTE	keyin_recipe	interactive-only-use-handoff	COMMAND:TEXTEDITOR PLACENOTE		text		N	N	BBMarkupProcessor.ExecuteAddCallout;PlaceCells.frm:267-313	2026-07-31		Confirmed activate-and-abandon anti-pattern. Use HANDOFF kind=callout.
CHANGE_ATTRIBUTES_INTERACTIVE	keyin_recipe	interactive-only-use-handoff	COMMAND:CHANGE ATTRIBUTES			N	N	frmSignSubColors.frm:87-123	2026-07-31		Proves command-string-alone safety judgments fail — same token is interactive here, headless via SET_SIGN_ATTRIBUTES (direct API). Use SET_SIGN_ATTRIBUTES or HANDOFF.	
PLACE_LINE_BARE	keyin_recipe	unsafe-blocked	COMMAND:PLACE LINE			N	N	live COM probe 2026-07-31 (returns 0.059s but arms tool — activate-and-abandon)	2026-07-31		Bare COMMAND with no DATAPOINT/RESET. Confirmed arms tool instantly. Use PLACE_ELEMENT_RUN / PLACE_WORKSPACE recipes instead.	
MOVE_ELEMENT_BARE	keyin_recipe	unsafe-blocked	COMMAND:MOVE ELEMENT			N	N	live COM probe 2026-07-31 (returns 0.077s but arms tool)	2026-07-31		Bare COMMAND. Use MOVE_ELEMENT direct_api instead.	
COPY_ELEMENT_BARE	keyin_recipe	unsafe-blocked	COMMAND:COPY ELEMENT			N	N	live COM probe 2026-07-31 (returns 0.074s but arms tool)	2026-07-31		Bare COMMAND. No headless copy recipe yet.	
DELETE_ELEMENT_BARE	keyin_recipe	unsafe-blocked	COMMAND:DELETE ELEMENT			N	N	live COM probe 2026-07-31 (returns 0.070s but arms tool)	2026-07-31		Bare COMMAND. Use DELETE_ELEMENT direct_api instead.	
PLACE_FENCE_BARE	keyin_recipe	unsafe-blocked	COMMAND:PLACE FENCE			N	N	live COM probe 2026-07-31 (returns 0.092s but arms tool)	2026-07-31		Bare COMMAND. Fence recipes not yet designed.	
REFERENCE_DISPLAY_ON_ALL	keyin_recipe	verified-headless-safe	KEYIN:REFERENCE DISPLAY ON ALL			N	N	live COM probe 2026-07-31 (0.040s); NCDOT function-key menu	2026-07-31	2026-07-31	Turns display on for all attached references. No datapoint.	
REFERENCE_DISPLAY_OFF_ALL	keyin_recipe	verified-headless-safe	KEYIN:REFERENCE DISPLAY OFF ALL			N	N	live COM probe 2026-07-31 (2.948s — slow but completed, no tool armed); NCDOT function-key menu	2026-07-31	2026-07-31	Turns display off for all attached references. Can be slow on files with many refs.	
LEVEL_OFF_ALL	keyin_recipe	verified-headless-safe	KEYIN:LEVEL OFF ALL			N	N	live COM probe 2026-07-31 (0.017s)	2026-07-31	2026-07-31	Turns all levels off in the active model display.	
LEVEL_ON_ALL	keyin_recipe	verified-headless-safe	KEYIN:LEVEL ON ALL			N	N	live COM probe 2026-07-31 (0.014s)	2026-07-31	2026-07-31	Turns all levels on in the active model display.	
LEVEL_DISPLAY_OFF_ALL	keyin_recipe	verified-headless-safe	KEYIN:LEVEL DISPLAY OFF ALL			N	N	live COM probe 2026-07-31 (0.048s)	2026-07-31	2026-07-31	Alternate spelling of level display off-all; verified same install.	
LEVEL_DISPLAY_ON_ALL	keyin_recipe	verified-headless-safe	KEYIN:LEVEL DISPLAY ON ALL			N	N	live COM probe 2026-07-31 (0.016s)	2026-07-31	2026-07-31	Alternate spelling of level display on-all; verified same install.	
VIEW_NEXT	keyin_recipe	verified-headless-safe	KEYIN:VIEW NEXT			N	N	live COM probe 2026-07-31 (0.071s)	2026-07-31	2026-07-31	View-only. Advances to next restored view.	
ZOOM_OUT_CENTERED	keyin_recipe	unsafe-blocked	KEYIN:ZOOM OUT CENTERED			N	N	live COM probe 2026-07-31 (0.082s)	2026-07-31			false-OK audit 2026-08-02: ARMED — left CommandName='Zoom Out' prompt='Select point to zoom about' (baseline='Element Selection'). Old keyin_batch probe SendReset masked this; refusing headless execution.
ZOOM_IN_CENTERED	keyin_recipe	unsafe-blocked	KEYIN:ZOOM IN CENTERED			N	N	live COM probe 2026-07-31 (0.068s)	2026-07-31			false-OK audit 2026-08-02: ARMED — left CommandName='Zoom In' prompt='Select point to zoom about' (baseline='Element Selection'). Old keyin_batch probe SendReset masked this; refusing headless execution.
LOCK_SNAP_ON	keyin_recipe	verified-headless-safe	KEYIN:LOCK SNAP ON			N	N	live COM probe 2026-07-31 (0.017s)	2026-07-31	2026-07-31	Settings-only.	
LOCK_GRID_ON	keyin_recipe	verified-headless-safe	KEYIN:LOCK GRID ON			N	N	live COM probe 2026-07-31 (0.127s)	2026-07-31	2026-07-31	Settings-only.	
LOCK_ACSPLANE_OFF	keyin_recipe	verified-headless-safe	KEYIN:LOCK ACSPLANE OFF			N	N	live COM probe 2026-07-31 (0.015s)	2026-07-31	2026-07-31	Settings-only.	
LOCK_FENCE_OFF	keyin_recipe	verified-headless-safe	KEYIN:LOCK FENCE OFF			N	N	live COM probe 2026-07-31 (0.024s)	2026-07-31	2026-07-31	Settings-only. Disables fence lock (does not place/clear a fence).	
SET_REFLEVELOVERRIDES_ON	keyin_recipe	verified-headless-safe	KEYIN:SET REFLEVELOVERRIDES ON			N	N	live COM probe 2026-07-31 (0.024s)	2026-07-31	2026-07-31	Settings-only. Persist reference level overrides across sessions.	
SET_REFLEVELOVERRIDES_OFF	keyin_recipe	verified-headless-safe	KEYIN:SET REFLEVELOVERRIDES OFF			N	N	live COM probe 2026-07-31 (0.017s)	2026-07-31	2026-07-31	Settings-only.	
CANCEL_NULL	keyin_recipe	verified-headless-safe	KEYIN:NULL			N	N	live COM probe 2026-07-31 (0.066s); AlignmentTool/DrawSign SendCommand NULL	2026-07-31	2026-07-31	Cancels / clears current command state. Useful after a refused interactive tool.	
CANCEL_NOCOMMAND	keyin_recipe	verified-headless-safe	KEYIN:NOCOMMAND			N	N	live COM probe 2026-07-31 (0.057s); WSDOT CAE function-key tech note	2026-07-31	2026-07-31	Ensures no command remains armed.	
WINDOW_AREA_BARE	keyin_recipe	unsafe-blocked	COMMAND:WINDOW AREA			N	N	interactive view tool — needs two datapoints	2026-07-31		Bare windowing tool. Needs datapoints; do not promote without a full recipe.	
UNDO_KEYIN	keyin_recipe	verified-headless-safe	KEYIN:UNDO			N	N		2026-07-31		2026-07-31	live re-probe after COM recovery (2.750s)
REDO_KEYIN	keyin_recipe	verified-headless-safe	KEYIN:REDO			N	N		2026-07-31		2026-07-31	live re-probe after COM recovery (0.047s)
COMPRESS_DESIGN	keyin_recipe	verified-headless-safe	KEYIN:COMPRESS DESIGN			N	N		2026-07-31		2026-07-31	live re-probe after COM recovery (1.348s)
AA_EQ	keyin_recipe	verified-headless-safe	KEYIN:AA={angleDeg}		angleDeg		N	N	CODOT MicroStationKeyinReference; Axiom 80+ key-ins; live probe 0.020s	2026-07-31	2026-07-31	Two-letter active angle. Alias of ACTIVE_ANGLE.
AS_EQ	keyin_recipe	verified-headless-safe	KEYIN:AS={scale}		scale		N	N	CODOT/Axiom; live probe 0.016s	2026-07-31	2026-07-31	Two-letter active scale.
XS_EQ	keyin_recipe	verified-headless-safe	KEYIN:XS={scale}		scale		N	N	CODOT/Axiom; live probe 0.016s	2026-07-31	2026-07-31	Active X scale only.
YS_EQ	keyin_recipe	verified-headless-safe	KEYIN:YS={scale}		scale		N	N	CODOT/Axiom; live probe 0.024s	2026-07-31	2026-07-31	Active Y scale only.
ZS_EQ	keyin_recipe	verified-headless-safe	KEYIN:ZS={scale}		scale		N	N	CODOT/Axiom; live probe 0.016s	2026-07-31	2026-07-31	Active Z scale only.
CO_EQ	keyin_recipe	verified-headless-safe	KEYIN:CO={color}		color		N	N	CODOT/Axiom; live probe 0.032s	2026-07-31	2026-07-31	Two-letter active color.
WT_EQ	keyin_recipe	verified-headless-safe	KEYIN:WT={weight}		weight		N	N	CODOT/Axiom; live probe 0.016s	2026-07-31	2026-07-31	Two-letter active weight.
LC_EQ	keyin_recipe	verified-headless-safe	KEYIN:LC={lineStyle}		lineStyle		N	N	CODOT/Axiom; live probe 0.024s	2026-07-31	2026-07-31	Two-letter active line style.
LV_EQ	keyin_recipe	verified-headless-safe	KEYIN:LV={level}		level		N	N	CODOT/Axiom; live probe 0.029s	2026-07-31	2026-07-31	Two-letter active level.
FT_EQ	keyin_recipe	verified-headless-safe	KEYIN:FT={font}		font		N	N	CODOT/Axiom; live probe 0.017s	2026-07-31	2026-07-31	Two-letter active font.
TH_EQ	keyin_recipe	verified-headless-safe	KEYIN:TH={height}		height		N	N	CODOT/Axiom; live probe 0.016s	2026-07-31	2026-07-31	Two-letter active text height.
TW_EQ	keyin_recipe	verified-headless-safe	KEYIN:TW={width}		width		N	N	CODOT/Axiom; live probe 0.016s	2026-07-31	2026-07-31	Two-letter active text width.
TX_EQ	keyin_recipe	verified-headless-safe	KEYIN:TX={size}		size		N	N	CODOT/Axiom; live probe 0.016s	2026-07-31	2026-07-31	Two-letter active text height and width.
LS_EQ	keyin_recipe	verified-headless-safe	KEYIN:LS={spacing}		spacing		N	N	CODOT/Axiom; live probe 0.017s	2026-07-31	2026-07-31	Two-letter active line spacing.
LL_EQ	keyin_recipe	verified-headless-safe	KEYIN:LL={length}		length		N	N	CODOT/Axiom; live probe 0.031s	2026-07-31	2026-07-31	Two-letter active line length.
KY_EQ	keyin_recipe	verified-headless-safe	KEYIN:KY={divisor}		divisor		N	N	CODOT/Axiom; live probe 0.023s	2026-07-31	2026-07-31	Keypoint snap divisor.
UR_EQ	keyin_recipe	verified-headless-safe	KEYIN:UR={distance}		distance		N	N	CODOT/Axiom; live probe 0.134s	2026-07-31	2026-07-31	Unit lock roundoff distance.
GU_EQ	keyin_recipe	verified-headless-safe	KEYIN:GU={spacing}		spacing		N	N	CODOT/Axiom; live probe 0.138s	2026-07-31	2026-07-31	Master grid spacing.
GR_EQ	keyin_recipe	verified-headless-safe	KEYIN:GR={spacing}		spacing		N	N	CODOT/Axiom; live probe 0.014s	2026-07-31	2026-07-31	Reference grid spacing.
PA_EQ	keyin_recipe	verified-headless-safe	KEYIN:PA={angleDeg}		angleDeg		N	N	CODOT/Axiom; live probe 0.016s	2026-07-31	2026-07-31	Active pattern angle.
PS_EQ	keyin_recipe	verified-headless-safe	KEYIN:PS={scale}		scale		N	N	CODOT/Axiom; live probe 0.015s	2026-07-31	2026-07-31	Active pattern scale.
PD_EQ	keyin_recipe	verified-headless-safe	KEYIN:PD={spacing}		spacing		N	N	CODOT/Axiom; live probe 0.016s	2026-07-31	2026-07-31	Active pattern spacing.
TS_EQ	keyin_recipe	verified-headless-safe	KEYIN:TS={scale}		scale		N	N	CODOT/Axiom; live probe 0.030s	2026-07-31	2026-07-31	Terminator scale.
SD_EQ	keyin_recipe	verified-headless-safe	KEYIN:SD={delta}		delta		N	N	CODOT/Axiom; live probe 0.016s	2026-07-31	2026-07-31	Stream digitizing delta.
ST_EQ	keyin_recipe	verified-headless-safe	KEYIN:ST={tolerance}		tolerance		N	N	CODOT/Axiom; live probe 0.017s	2026-07-31	2026-07-31	Stream digitizing tolerance.
ACTIVE_FONT	keyin_recipe	verified-headless-safe	KEYIN:ACTIVE FONT {font}		font		N	N	CONNECT-style; live probe 0.025s	2026-07-31	2026-07-31	Long-form active font.
ACTIVE_HEIGHT	keyin_recipe	verified-headless-safe	KEYIN:ACTIVE HEIGHT {height}		height		N	N	CONNECT-style; live probe 0.017s	2026-07-31	2026-07-31	Long-form active text height.
ACTIVE_WIDTH	keyin_recipe	verified-headless-safe	KEYIN:ACTIVE WIDTH {width}		width		N	N	CONNECT-style; live probe 0.014s	2026-07-31	2026-07-31	Long-form active text width.
ACTIVE_LINESTYLE	keyin_recipe	verified-headless-safe	KEYIN:ACTIVE LINESTYLE {lineStyle}		lineStyle		N	N	CONNECT-style; live probe 0.015s	2026-07-31	2026-07-31	Long-form active line style.
ACTIVE_TXCHARACTERHEIGHT	keyin_recipe	verified-headless-safe	KEYIN:ACTIVE TXCHARACTERHEIGHT {height}		height		N	N	CONNECT-style; live probe 0.018s	2026-07-31	2026-07-31	Text character height.
ACTIVE_TXCHARACTERWIDTH	keyin_recipe	verified-headless-safe	KEYIN:ACTIVE TXCHARACTERWIDTH {width}		width		N	N	CONNECT-style; live probe 0.017s	2026-07-31	2026-07-31	Text character width.
SET_FILL_ON	keyin_recipe	unsafe-blocked	KEYIN:SET FILL ON				N	N	live probe 0.075s	2026-07-31		Turns fill display on. | false-OK audit 2026-08-02: ARMED — left CommandName='Fill Display On' prompt='Select view' (baseline='Element Selection'). Old keyin_batch probe SendReset masked this; refusing headless execution.
SET_PATTERN_OFF	keyin_recipe	unsafe-blocked	KEYIN:SET PATTERN OFF				N	N	live probe 0.071s	2026-07-31		Turns pattern display off. | false-OK audit 2026-08-02: ARMED — left CommandName='Pattern Display Off' prompt='Select view' (baseline='Element Selection'). Old keyin_batch probe SendReset masked this; refusing headless execution.
SET_CONSTRUCTIONS_ON	keyin_recipe	verified-headless-safe	KEYIN:SET CONSTRUCTIONS ON				N	N	live probe 0.022s	2026-07-31	2026-07-31	Show construction class elements.
SET_CONSTRUCTIONS_OFF	keyin_recipe	verified-headless-safe	KEYIN:SET CONSTRUCTIONS OFF				N	N	live probe 0.014s	2026-07-31	2026-07-31	Hide construction class elements.
SET_TEXTNODE_OFF	keyin_recipe	verified-headless-safe	KEYIN:SET TEXTNODE OFF				N	N	live probe 0.016s	2026-07-31	2026-07-31	Text node display off.
SET_LEVELS_OFF	keyin_recipe	verified-headless-safe	KEYIN:SET LEVELS OFF				N	N	live probe 0.030s	2026-07-31	2026-07-31	Verified return; exact semantics install-dependent — prefer LEVEL_OFF_ALL for clarity.
LOCK_AXIS_ON	keyin_recipe	verified-headless-safe	KEYIN:LOCK AXIS ON				N	N	live probe 0.018s	2026-07-31	2026-07-31	Settings-only.
LOCK_UNIT_ON	keyin_recipe	verified-headless-safe	KEYIN:LOCK UNIT ON				N	N	live probe 0.126s	2026-07-31	2026-07-31	Settings-only.
LOCK_LEVEL_ON	keyin_recipe	verified-headless-safe	KEYIN:LOCK LEVEL ON				N	N	live probe 0.015s	2026-07-31	2026-07-31	Settings-only.
LOCK_GRAPHICGROUP_ON	keyin_recipe	verified-headless-safe	KEYIN:LOCK GRAPHICGROUP ON				N	N	live probe 0.014s	2026-07-31	2026-07-31	Settings-only.
LOCK_ROTATION_ON	keyin_recipe	verified-headless-safe	KEYIN:LOCK ROTATION ON				N	N	live probe 0.022s	2026-07-31	2026-07-31	Settings-only.
LOCK_ACSPLANE_ON	keyin_recipe	verified-headless-safe	KEYIN:LOCK ACSPLANE ON				N	N	live probe 0.016s	2026-07-31	2026-07-31	Settings-only.
LOCK_FENCE_OVERLAP	keyin_recipe	verified-headless-safe	KEYIN:LOCK FENCE OVERLAP				N	N	live probe 0.025s	2026-07-31	2026-07-31	Fence lock mode.
LOCK_FENCE_CLIP	keyin_recipe	verified-headless-safe	KEYIN:LOCK FENCE CLIP				N	N	live probe 0.022s	2026-07-31	2026-07-31	Fence lock mode.
LOCK_FENCE_VOID	keyin_recipe	verified-headless-safe	KEYIN:LOCK FENCE VOID				N	N	live probe 0.023s	2026-07-31	2026-07-31	Fence lock mode.
LOCK_ISOPLANE_OFF	keyin_recipe	verified-headless-safe	KEYIN:LOCK ISOPLANE OFF				N	N	live probe 0.016s	2026-07-31	2026-07-31	Settings-only.
LOCK_DEPTH_OFF	keyin_recipe	verified-headless-safe	KEYIN:LOCK DEPTH OFF				N	N	live probe 0.018s	2026-07-31	2026-07-31	Settings-only.
LOCK_BORESITE_OFF	keyin_recipe	verified-headless-safe	KEYIN:LOCK BORESITE OFF				N	N	live probe 0.016s	2026-07-31	2026-07-31	Settings-only.
LOCK_ACSPLANE_SNAP_OFF	keyin_recipe	verified-headless-safe	KEYIN:LOCK ACSPLANE SNAP OFF				N	N	live probe 0.015s	2026-07-31	2026-07-31	Settings-only.
VIEW_FIT_ALL	keyin_recipe	unsafe-blocked	KEYIN:FIT ALL				N	N	WSDOT function-key note; live probe 0.069s	2026-07-31		Fit all views. | false-OK audit 2026-08-02: ARMED — left CommandName='Fit Design and References' prompt='Select view' (baseline='Element Selection'). Old keyin_batch probe SendReset masked this; refusing headless execution.
SELVIEW_ALL	keyin_recipe	verified-headless-safe	KEYIN:SELVIEW ALL				N	N	WSDOT function-key note; live probe 0.021s	2026-07-31	2026-07-31	Select all views for subsequent view cmds.
UPDATE_VIEW_EXTENDED	keyin_recipe	verified-headless-safe	KEYIN:UPDATE VIEW EXTENDED				N	N	live probe 0.073s	2026-07-31	2026-07-31	Redraw extended.
UPDATE_VIEW_1	keyin_recipe	unsafe-blocked	KEYIN:UPDATE VIEW 1				N	N	live probe 0.066s	2026-07-31		Redraw view 1. | false-OK audit 2026-08-02: ARMED — left CommandName='Update View' prompt='Select view' (baseline='Element Selection'). Old keyin_batch probe SendReset masked this; refusing headless execution.
ZOOM_OUT	keyin_recipe	unsafe-blocked	KEYIN:ZOOM OUT				N	N	live probe 0.067s	2026-07-31		false-OK audit 2026-08-02: ARMED — left CommandName='Zoom Out' prompt='Select point to zoom about' (baseline='Element Selection'). Old keyin_batch probe SendReset masked this; refusing headless execution.
ZOOM_IN	keyin_recipe	unsafe-blocked	KEYIN:ZOOM IN				N	N	live probe 0.069s	2026-07-31		false-OK audit 2026-08-02: ARMED — left CommandName='Zoom In' prompt='Select point to zoom about' (baseline='Element Selection'). Old keyin_batch probe SendReset masked this; refusing headless execution.
VIEW_TOP	keyin_recipe	unsafe-blocked	KEYIN:VIEW TOP				N	N	live probe 0.070s	2026-07-31		Standard orthographic view. | false-OK audit 2026-08-02: ARMED — left CommandName='Top View' prompt='Select view' (baseline='Element Selection'). Old keyin_batch probe SendReset masked this; refusing headless execution.
VIEW_BOTTOM	keyin_recipe	verified-headless-safe	KEYIN:VIEW BOTTOM				N	N	live probe 0.015s	2026-07-31	2026-07-31	Standard orthographic view.
VIEW_FRONT	keyin_recipe	verified-headless-safe	KEYIN:VIEW FRONT				N	N	live probe 0.014s	2026-07-31	2026-07-31	Standard orthographic view.
VIEW_BACK	keyin_recipe	verified-headless-safe	KEYIN:VIEW BACK				N	N	live probe 0.019s	2026-07-31	2026-07-31	Standard orthographic view.
VIEW_LEFT	keyin_recipe	verified-headless-safe	KEYIN:VIEW LEFT				N	N	live probe 0.014s	2026-07-31	2026-07-31	Standard orthographic view.
VIEW_RIGHT	keyin_recipe	verified-headless-safe	KEYIN:VIEW RIGHT				N	N	live probe 0.015s	2026-07-31	2026-07-31	Standard orthographic view.
VIEW_ISOMETRIC	keyin_recipe	verified-headless-safe	KEYIN:VIEW ISOMETRIC				N	N	live probe 0.016s	2026-07-31	2026-07-31	Standard isometric view.
VIEW_RIGHTISOMETRIC	keyin_recipe	verified-headless-safe	KEYIN:VIEW RIGHTISOMETRIC				N	N	live probe 0.014s	2026-07-31	2026-07-31	Standard right-isometric view.
AC_EQ_BARE	keyin_recipe	unsafe-blocked	KEYIN:AC={cellName}		cellName		N	N	Axiom/CODOT AC=; live probe 0.551s arms Place Cell	2026-07-31		Sets active cell AND activates Place Cell tool. Use PLACE_CELL bridge op instead.
AR_EQ_BARE	keyin_recipe	unsafe-blocked	KEYIN:AR={cellName}		cellName		N	N	Axiom/CODOT AR=; live probe arms Place Cell Relative	2026-07-31		Activates Place Cell Relative tool.
XY_EQ_BARE	keyin_recipe	unsafe-blocked	KEYIN:XY={coords}		coords		N	N	CODOT precision input; live probe	2026-07-31		Precision datapoint — not a settings keyin. Belongs inside a recipe DATAPOINT step, not standalone.
DI_EQ_BARE	keyin_recipe	unsafe-blocked	KEYIN:DI={distDir}		distDir		N	N	CODOT precision input; live probe	2026-07-31		Precision datapoint — not standalone-safe.
PLACE_POINT_BARE	keyin_recipe	unsafe-blocked	COMMAND:PLACE POINT				N	N	live probe arms tool	2026-07-31		Bare tool activation.
PLACE_TEXT_BARE	keyin_recipe	unsafe-blocked	COMMAND:PLACE TEXT				N	N	live probe arms tool	2026-07-31		Bare tool activation.
PLACE_NOTE_BARE	keyin_recipe	unsafe-blocked	COMMAND:PLACE NOTE				N	N	live probe arms tool	2026-07-31		Bare tool activation. Use HANDOFF kind=callout.
ROTATE_ELEMENT_BARE	keyin_recipe	unsafe-blocked	COMMAND:ROTATE ELEMENT				N	N	live probe arms tool	2026-07-31		Bare tool activation.
